date,18:00,19:00,20:00,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-01,38.90000,38.90000,38.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-02,42.30000,41.90000,41.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-03,40.80000,40.50000,40.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-04,42.30000,41.90000,41.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-05,44.00000,44.10000,44.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-06,45.60000,44.50000,44.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-07,40.90000,41.20000,35.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-08,44.60000,44.30000,43.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,41.90000,42.90000,42.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-10,44.90000,44.40000,43.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-11,43.10000,42.60000,42.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-12,45.10000,45.00000,44.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-13,41.80000,40.20000,39.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-14,38.60000,36.40000,34.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-15,40.40000,40.80000,40.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-16,39.70000,39.60000,39.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-17,41.50000,40.50000,40.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-18,42.90000,42.70000,43.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-19,41.30000,40.20000,39.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-20,40.50000,40.60000,40.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-21,37.50000,37.90000,32.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-22,44.40000,44.10000,44.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-23,41.20000,40.60000,42.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-24,41.50000,40.70000,40.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-25,42.00000,41.60000,41.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-26,44.70000,43.90000,44.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-27,40.50000,40.40000,40.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-28,40.20000,40.30000,36.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-29,44.20000,43.70000,43.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-30,45.50000,45.30000,45.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-31,43.60000,43.60000,43.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-01,45.00000,44.00000,44.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-02,42.30000,42.00000,42.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-03,41.90000,42.00000,41.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-04,37.80000,37.90000,32.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-05,42.70000,41.70000,42.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-06,45.10000,41.50000,40.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-07,47.60000,46.70000,38.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-08,44.20000,42.30000,43.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-09,43.20000,42.80000,42.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-10,41.90000,42.20000,40.90000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-11,36.00000,35.60000,32.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-12,48.00000,47.80000,47.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-13,41.60000,41.20000,41.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-14,48.60000,47.20000,46.80000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-15,45.20000,44.90000,44.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-16,48.30000,47.50000,47.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-17,40.20000,40.50000,39.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-18,39.90000,40.40000,36.00000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-19,45.20000,44.60000,39.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-20,39.50000,39.70000,38.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-21,39.60000,39.00000,38.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-22,44.80000,44.90000,44.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-23,41.30000,41.40000,41.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-24,41.50000,39.10000,39.40000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-25,34.10000,33.50000,30.60000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-26,41.20000,41.10000,40.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-27,40.70000,39.70000,37.70000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-02-28,43.50000,42.70000,43.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-01,42.40000,42.30000,42.30000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-02,39.90000,40.30000,40.20000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-03,31.20000,31.30000,30.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-04,30.20000,29.60000,25.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-05,38.40000,39.30000,38.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-06,41.30000,41.90000,38.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-07,38.70000,39.10000,38.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-08,41.30000,40.50000,40.10000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-09,38.90000,38.70000,38.50000,,,,,,,,,,,,,,,,,,,,,,,,,
2018-03-10,37.10000,37.10000,36.90000,,,,,,,,,,,,,,,,,,,,,,,,,
